Name,name_He,birth,death,viaf
"Śarig, Yosef, 1944-1973","שריג, יוסף",1944,1973,56201511
"Shatz, Z., 1890-1921","שץ, צבי",1890,1921,52105970
"Samuel, ha-Nagid, 993-1056",שמואל בן יוסף הנגיד,1056,993,79078012
"שטרן, אברהם","שטרן, אברהם",1907,1942,
"Schulman, Kalman, 1819-1899","שולמאן, קלמן",1819,1899,38566911
"Shoham, Matityahu Moshe, 1893-1937","שהם, מתתיהו",1893,1937,9879781
"Shabazi, Shalem, 1619-1686","שבזי, שלום",1619,1686,62734261
רחל המשוררת,רחל,1890,1931,19791688
"Regelson, Abraham, 1896-1981","רגלסון, אברהם",1896,1981,70455587
"צרפתי, יוסף","צרפתי, יוסף",,,
"צוקרמנדל, שמשון","צוקרמנדל, שמשון",,,308280977
"Frishman, David","פרישמן, דוד",1859,1922,62919051
"Frug, Semen Grigorʹevič, 1860-1916","פרוג, שמעון שמואל",1860,1916,287433140
"Vogel, David, 1891-1944","פוגל, דוד",1891,1944,71416423
ʿImanuʾel ben Shelomoh 1265-1330,עמנואל בן שלמה הרומי,1265,1330,85429667
"Senesh, Hannah, 1921-1944","סנש, חנה",1921,1944,5174643
"Silman, Kadish Yehuda Leib, 1880 or 81-1937","סילמן, קדיש",1880,1937,78674797
"Solodar, Avraham, 1890-1936","סולודר, אברהם",1890,1936,298934670
"Negev, Raḥel","נגב, רחל",1923,1982,11434359
משוררי ספרד ופרובאנס,משוררי ספרד ופרובאנס,,,
משוררי אלג'יריה,משוררי אלג'יריה,,,
"Mar, Yeḥiʾel, 1921-1969","מר (מוהר), יחיאל",1921,1969,39675674
"Morpurgo, Rachel, 1790-1871","מורפורגו, רחל",1790,1871,17066028
"Mulder, Samuel Israel, 1792-1862","מולדר, שמואל ישראל",1792,1862,34351031
"Manne, Mordecai Ẓevi, 1859-1886","מאנה, מרדכי צבי",1859,1886,29437284
"Lerner, Yaʻaḳov, 1880-1918","לרנר, יעקב",1880,1918,35420078
"Letteris, Meir, 1800?-1871","לטריס, מאיר הלוי",1800,1871,3235628
"Luzzatto, Samuel David, 1800-1865","לוצאטו, שמואל דוד",1800,1865,122277046
"Luzzatto, Moshe Ḥayyim, 1707-1747","לוצאטו, משה חיים",1707,1747,73875381
"Luzzatto, Ephraim, 1729-1792","לוצאטו, אפרים",1729,1792,120789685
"לוין, אלתר, 1883-1933","לוין, אלתר",1883,1933,7098465
"Lebensohn, Micah Joseph, 1828-1852","לבנזון, מיכה יוסף הכהן",1828,1852,73714746
"לבנזון, אברהם דב בר מיכלישוקר הכהן בן חיים","לבנזון, אברהם דב בר מיכלישוקר הכהן בן חיים",,,
"Kohen, Tobija Rofe 1652-1729","כהן, טוביה",1652,1729,120788985
يهودا اللاوي، 1075؟-1141,יהודה הלוי,1075,1141,56620997
"Tchernichowsky, Saul, 1875-1943","טשרניחובסקי, שאול",1875,1943,12420180
"Teller, Ẓevi Lazar, 1840-1914","טלר, צבי אלעזר",1840,1914,66341117
"Tawiow, Israel Ḥayyim, 1858-1920","טביוב, ישראל חיים",1858,1920,77234091
"Khatzkevitz, Israel, 1897-1939","חצקביץ', ישראל",1897,1939,97168523
"זליגר, יוסף","זליגר, יוסף הלוי",1872,1919,308277927
"Jabotinsky, Vladimir, 1880-1940","ז'בוטינסקי, זאב",1880,1940,90637373
"Dolitzky, M. M. (Menahem Mendel), 1856-1931","דוליצקי, מנחם מנדל",1856,1931,34363543
"Gnessin, Uri Nissan, 1879-1913","גנסין, אורי ניסן",1879,1913,79065991
"Gordon, Samuel Leib, 1865-1933","גורדון, שמואל ליב",1865,1933,24183460
"Gordon, Judah Leib, 1830-1892","גורדון, יהודה ליב",1830,1892,51697870
"Goldfaden, Abraham, 1840-1908","גולדפאדן, אברהם",1840,1908,66613610
"Basoḳ, Mosheh, 1907-1966","בסוק, משה",1907,1966,44136499
"בנבנשתי, וידל","בנבנשת, וידאל",1380,1439,67522257
"Ben-Zion, S., 1870-1932","בן-ציון, שמחה",1870,1932,69347345
"Bialik, Ḥayyim Naḥman 1873-1934","ביאליק, חיים נחמן",1873,1934,41958361
"Arlosoroff, Chaim, 1899-1933","ארלוזורוב, חיים",1899,1933,64806963
"Efros, Israel, 1891-1981","אפרת, ישראל",1891,1981,17593595
"Al-Harizi, Juda, 1170-1235","אלחריזי, יהודה",1170,1235,88896884
"אלבלינגר, זאב","אלבלינגר, זאב", זאב,,50683270
"Imber, Naphtali Herz, 1856-1909","אימבר, נפתלי הרץ",1856,1909,816021
"Unger, Joachim Jacob, 1826-1912","אונגר, חיים יעקב",1826,1912,76202604
"Ibn Ezra, Moses, approximately 1060-approximately 1139","אבן עזרא, משה",1060,1139,86836195
"Ibn Ezra, Abraham ben Meïr, 1092-1167","אבן עזרא, אברהם",1092,1167,90633023
Isaac Ibn Ḥalfon,"אבן כלפון, יצחק",960,1020,44535366
"Ibn Gabirol, active 11th century","אבן גבירול, שלמה בן יהודה",1021,1058,100186412
